nohup: ignoring input
Timesteps: 100, Mean reward: 29.58
Timesteps: 200, Mean reward: 101.65
Timesteps: 300, Mean reward: 206.52
Timesteps: 400, Mean reward: 83.53
Timesteps: 500, Mean reward: 68.82
Timesteps: 600, Mean reward: 53.88
Timesteps: 700, Mean reward: 84.70
Timesteps: 800, Mean reward: 201.79
Timesteps: 900, Mean reward: 94.93
Timesteps: 1000, Mean reward: 66.90
Timesteps: 1100, Mean reward: 188.68
Timesteps: 1200, Mean reward: 197.30
Timesteps: 1300, Mean reward: 194.05
Timesteps: 1400, Mean reward: 207.78
Timesteps: 1500, Mean reward: 211.61
Timesteps: 1600, Mean reward: 216.42
Timesteps: 1700, Mean reward: 61.68
Timesteps: 1800, Mean reward: 208.95
Timesteps: 1900, Mean reward: 202.57
Timesteps: 2000, Mean reward: 153.46
Timesteps: 2100, Mean reward: 207.80
Timesteps: 2200, Mean reward: 206.54
Timesteps: 2300, Mean reward: 206.92
Timesteps: 2400, Mean reward: 199.62
Timesteps: 2500, Mean reward: 204.36
Timesteps: 2600, Mean reward: 180.33
Timesteps: 2700, Mean reward: 202.57
Timesteps: 2800, Mean reward: 141.78
Timesteps: 2900, Mean reward: 224.40
Timesteps: 3000, Mean reward: 223.09
Timesteps: 3100, Mean reward: 228.99
Timesteps: 3200, Mean reward: 223.92
Timesteps: 3300, Mean reward: 215.88
Timesteps: 3400, Mean reward: 224.40
Timesteps: 3500, Mean reward: 235.13
Timesteps: 3600, Mean reward: 205.09
Timesteps: 3700, Mean reward: 192.65
Timesteps: 3800, Mean reward: 195.23
Timesteps: 3900, Mean reward: 194.39
Timesteps: 4000, Mean reward: 198.33
Timesteps: 4100, Mean reward: 198.53
Timesteps: 4200, Mean reward: 204.22
Timesteps: 4300, Mean reward: 203.84
Timesteps: 4400, Mean reward: 205.49
Timesteps: 4500, Mean reward: 206.82
Timesteps: 4600, Mean reward: 214.56
Timesteps: 4700, Mean reward: 212.98
Timesteps: 4800, Mean reward: 211.49
Timesteps: 4900, Mean reward: 220.80
Timesteps: 5000, Mean reward: 212.86
Timesteps: 5100, Mean reward: 215.28
Timesteps: 5200, Mean reward: 222.14
Timesteps: 5300, Mean reward: 220.30
Timesteps: 5400, Mean reward: 186.64
Timesteps: 5500, Mean reward: 175.72
Timesteps: 5600, Mean reward: 207.06
Timesteps: 5700, Mean reward: 67.59
Timesteps: 5800, Mean reward: 31.87
Timesteps: 5900, Mean reward: 127.51
Timesteps: 6000, Mean reward: 45.91
Timesteps: 6100, Mean reward: 480.10
Timesteps: 6200, Mean reward: 520.23
Timesteps: 6300, Mean reward: 528.49
Timesteps: 6400, Mean reward: 511.80
Timesteps: 6500, Mean reward: 508.42
Timesteps: 6600, Mean reward: 503.99
Timesteps: 6700, Mean reward: 534.10
Timesteps: 6800, Mean reward: 541.28
Timesteps: 6900, Mean reward: 375.18
Timesteps: 7000, Mean reward: 113.04
Timesteps: 7100, Mean reward: 31.85
Timesteps: 7200, Mean reward: 253.83
Timesteps: 7300, Mean reward: 216.49
Timesteps: 7400, Mean reward: 215.60
Timesteps: 7500, Mean reward: 212.32
Timesteps: 7600, Mean reward: 216.53
Timesteps: 7700, Mean reward: 208.24
Timesteps: 7800, Mean reward: 221.66
Timesteps: 7900, Mean reward: 208.37
Timesteps: 8000, Mean reward: 225.45
Timesteps: 8100, Mean reward: 95.21
Timesteps: 8200, Mean reward: 230.65
Timesteps: 8300, Mean reward: 225.15
Timesteps: 8400, Mean reward: 169.40
Timesteps: 8500, Mean reward: 226.38
Timesteps: 8600, Mean reward: 234.82
Timesteps: 8700, Mean reward: 234.68
Timesteps: 8800, Mean reward: 236.98
Timesteps: 8900, Mean reward: 217.72
Timesteps: 9000, Mean reward: 192.97
Timesteps: 9100, Mean reward: 196.69
Timesteps: 9200, Mean reward: 165.33
Timesteps: 9300, Mean reward: 199.03
Timesteps: 9400, Mean reward: 223.79
Timesteps: 9500, Mean reward: 197.00
Timesteps: 9600, Mean reward: 39.55
Timesteps: 9700, Mean reward: 230.88
Timesteps: 9800, Mean reward: 215.79
Timesteps: 9900, Mean reward: 216.82
Timesteps: 10000, Mean reward: 210.12
Timesteps: 10100, Mean reward: 231.05
Timesteps: 10200, Mean reward: 234.12
Timesteps: 10300, Mean reward: 238.42
Timesteps: 10400, Mean reward: 247.99
Timesteps: 10500, Mean reward: 250.61
Timesteps: 10600, Mean reward: 245.88
Timesteps: 10700, Mean reward: 246.52
Timesteps: 10800, Mean reward: 274.11
Timesteps: 10900, Mean reward: 264.50
Timesteps: 11000, Mean reward: 251.73
Timesteps: 11100, Mean reward: 256.57
Timesteps: 11200, Mean reward: 250.48
Timesteps: 11300, Mean reward: 268.51
Timesteps: 11400, Mean reward: 204.36
Timesteps: 11500, Mean reward: 214.89
Timesteps: 11600, Mean reward: 286.56
Timesteps: 11700, Mean reward: 201.28
Timesteps: 11800, Mean reward: 289.91
Timesteps: 11900, Mean reward: 6.45
Timesteps: 12000, Mean reward: 267.28
Timesteps: 12100, Mean reward: 56.14
Timesteps: 12200, Mean reward: 172.31
Timesteps: 12300, Mean reward: 300.94
Timesteps: 12400, Mean reward: 369.12
Timesteps: 12500, Mean reward: 167.11
Timesteps: 12600, Mean reward: 316.44
Timesteps: 12700, Mean reward: 429.37
Timesteps: 12800, Mean reward: 482.97
Timesteps: 12900, Mean reward: 247.33
Timesteps: 13000, Mean reward: 503.31
Timesteps: 13100, Mean reward: 495.70
Timesteps: 13200, Mean reward: 494.44
Timesteps: 13300, Mean reward: 495.02
Timesteps: 13400, Mean reward: 487.29
