nohup: ignoring input
Timesteps: 100, Mean reward: 26.06
Timesteps: 200, Mean reward: 26.33
Timesteps: 300, Mean reward: 91.36
Timesteps: 400, Mean reward: 139.23
Timesteps: 500, Mean reward: 35.71
Timesteps: 600, Mean reward: 104.82
Timesteps: 700, Mean reward: 74.95
Timesteps: 800, Mean reward: 50.68
Timesteps: 900, Mean reward: 100.91
Timesteps: 1000, Mean reward: 98.11
Timesteps: 1100, Mean reward: 131.31
Timesteps: 1200, Mean reward: 127.94
Timesteps: 1300, Mean reward: 186.33
Timesteps: 1400, Mean reward: 140.15
Timesteps: 1500, Mean reward: 180.50
Timesteps: 1600, Mean reward: 148.02
Timesteps: 1700, Mean reward: 198.45
Timesteps: 1800, Mean reward: 177.63
Timesteps: 1900, Mean reward: 196.35
Timesteps: 2000, Mean reward: 167.52
Timesteps: 2100, Mean reward: 316.49
Timesteps: 2200, Mean reward: 120.99
Timesteps: 2300, Mean reward: 147.60
Timesteps: 2400, Mean reward: 157.76
Timesteps: 2500, Mean reward: 134.21
Timesteps: 2600, Mean reward: 117.90
Timesteps: 2700, Mean reward: 96.01
Timesteps: 2800, Mean reward: 105.17
Timesteps: 2900, Mean reward: 103.74
Timesteps: 3000, Mean reward: 123.69
Timesteps: 3100, Mean reward: 146.64
Timesteps: 3200, Mean reward: 102.08
Timesteps: 3300, Mean reward: 152.48
Timesteps: 3400, Mean reward: 210.47
Timesteps: 3500, Mean reward: 119.11
Timesteps: 3600, Mean reward: 224.27
Timesteps: 3700, Mean reward: 149.38
Timesteps: 3800, Mean reward: 217.36
Timesteps: 3900, Mean reward: 115.69
Timesteps: 4000, Mean reward: 275.25
Timesteps: 4100, Mean reward: 341.97
Timesteps: 4200, Mean reward: 281.33
Timesteps: 4300, Mean reward: 377.79
Timesteps: 4400, Mean reward: 234.56
Timesteps: 4500, Mean reward: 353.98
Timesteps: 4600, Mean reward: 350.48
Timesteps: 4700, Mean reward: 291.65
Timesteps: 4800, Mean reward: 201.33
Timesteps: 4900, Mean reward: 532.04
Timesteps: 5000, Mean reward: 522.73
Timesteps: 5100, Mean reward: 192.78
Timesteps: 5200, Mean reward: 145.42
Timesteps: 5300, Mean reward: 66.91
Timesteps: 5400, Mean reward: 46.91
Timesteps: 5500, Mean reward: 48.45
Timesteps: 5600, Mean reward: 48.29
Timesteps: 5700, Mean reward: 74.34
Timesteps: 5800, Mean reward: 74.53
Timesteps: 5900, Mean reward: 512.31
Timesteps: 6000, Mean reward: 456.99
Timesteps: 6100, Mean reward: 516.82
Timesteps: 6200, Mean reward: 366.37
Timesteps: 6300, Mean reward: 488.86
Timesteps: 6400, Mean reward: 334.88
Timesteps: 6500, Mean reward: 529.42
Timesteps: 6600, Mean reward: 535.26
Timesteps: 6700, Mean reward: 532.58
Timesteps: 6800, Mean reward: 533.38
Timesteps: 6900, Mean reward: 550.66
Timesteps: 7000, Mean reward: 540.63
Timesteps: 7100, Mean reward: 543.70
Timesteps: 7200, Mean reward: 551.35
Timesteps: 7300, Mean reward: 355.48
Timesteps: 7400, Mean reward: 335.39
Timesteps: 7500, Mean reward: 400.67
Timesteps: 7600, Mean reward: 342.12
Timesteps: 7700, Mean reward: 296.01
Timesteps: 7800, Mean reward: 321.78
Timesteps: 7900, Mean reward: 310.77
Timesteps: 8000, Mean reward: 301.75
Timesteps: 8100, Mean reward: 326.94
Timesteps: 8200, Mean reward: 310.72
