nohup: ignoring input
Timesteps: 100, Mean reward: 29.30
Timesteps: 200, Mean reward: 33.97
Timesteps: 300, Mean reward: 67.84
Timesteps: 400, Mean reward: 87.52
Timesteps: 500, Mean reward: 61.18
Timesteps: 600, Mean reward: 58.34
Timesteps: 700, Mean reward: 50.85
Timesteps: 800, Mean reward: 195.94
Timesteps: 900, Mean reward: 197.93
Timesteps: 1000, Mean reward: 191.53
Timesteps: 1100, Mean reward: 58.13
Timesteps: 1200, Mean reward: 40.75
Timesteps: 1300, Mean reward: 207.01
Timesteps: 1400, Mean reward: 191.25
Timesteps: 1500, Mean reward: 110.80
Timesteps: 1600, Mean reward: 220.40
Timesteps: 1700, Mean reward: 219.42
Timesteps: 1800, Mean reward: 236.23
Timesteps: 1900, Mean reward: 263.65
Timesteps: 2000, Mean reward: 240.29
Timesteps: 2100, Mean reward: 240.97
Timesteps: 2200, Mean reward: 248.25
Timesteps: 2300, Mean reward: 245.51
Timesteps: 2400, Mean reward: 238.66
Timesteps: 2500, Mean reward: 244.37
Timesteps: 2600, Mean reward: 257.81
Timesteps: 2700, Mean reward: 231.09
Timesteps: 2800, Mean reward: 249.99
Timesteps: 2900, Mean reward: 272.42
Timesteps: 3000, Mean reward: 242.43
Timesteps: 3100, Mean reward: 206.02
Timesteps: 3200, Mean reward: 8.70
Timesteps: 3300, Mean reward: 8.02
Timesteps: 3400, Mean reward: 34.36
Timesteps: 3500, Mean reward: 91.28
Timesteps: 3600, Mean reward: 331.93
Timesteps: 3700, Mean reward: 70.34
Timesteps: 3800, Mean reward: 78.44
Timesteps: 3900, Mean reward: 97.76
Timesteps: 4000, Mean reward: 84.85
Timesteps: 4100, Mean reward: 75.91
Timesteps: 4200, Mean reward: 95.51
Timesteps: 4300, Mean reward: 154.07
Timesteps: 4400, Mean reward: 284.58
Timesteps: 4500, Mean reward: 287.63
Timesteps: 4600, Mean reward: 271.75
Timesteps: 4700, Mean reward: 262.64
Timesteps: 4800, Mean reward: 264.43
Timesteps: 4900, Mean reward: 282.69
Timesteps: 5000, Mean reward: 302.01
Timesteps: 5100, Mean reward: 277.74
Timesteps: 5200, Mean reward: 274.74
Timesteps: 5300, Mean reward: 259.29
Timesteps: 5400, Mean reward: 246.48
Timesteps: 5500, Mean reward: 262.74
Timesteps: 5600, Mean reward: 237.34
Timesteps: 5700, Mean reward: 255.68
Timesteps: 5800, Mean reward: 260.94
Timesteps: 5900, Mean reward: 236.49
Timesteps: 6000, Mean reward: 71.70
Timesteps: 6100, Mean reward: 81.50
Timesteps: 6200, Mean reward: 51.51
Timesteps: 6300, Mean reward: 90.69
Timesteps: 6400, Mean reward: 238.73
Timesteps: 6500, Mean reward: 174.20
Timesteps: 6600, Mean reward: 253.87
Timesteps: 6700, Mean reward: 251.64
Timesteps: 6800, Mean reward: 228.15
Timesteps: 6900, Mean reward: 239.78
Timesteps: 7000, Mean reward: 256.20
Timesteps: 7100, Mean reward: 285.65
Timesteps: 7200, Mean reward: 275.32
Timesteps: 7300, Mean reward: 279.27
Timesteps: 7400, Mean reward: 288.10
Timesteps: 7500, Mean reward: 280.19
Timesteps: 7600, Mean reward: 278.53
Timesteps: 7700, Mean reward: 281.78
Timesteps: 7800, Mean reward: 294.74
Timesteps: 7900, Mean reward: 301.11
Timesteps: 8000, Mean reward: 282.54
Timesteps: 8100, Mean reward: 280.86
Timesteps: 8200, Mean reward: 283.78
Timesteps: 8300, Mean reward: 270.83
Timesteps: 8400, Mean reward: 271.02
Timesteps: 8500, Mean reward: 288.89
Timesteps: 8600, Mean reward: 245.94
