nohup: ignoring input
Timesteps: 100, Mean reward: 14.16
Timesteps: 200, Mean reward: 121.10
Timesteps: 300, Mean reward: 18.85
Timesteps: 400, Mean reward: 112.73
Timesteps: 500, Mean reward: 118.16
Timesteps: 600, Mean reward: 62.63
Timesteps: 700, Mean reward: 62.76
Timesteps: 800, Mean reward: 57.75
Timesteps: 900, Mean reward: 54.47
Timesteps: 1000, Mean reward: 55.60
Timesteps: 1100, Mean reward: 65.35
Timesteps: 1200, Mean reward: 141.06
Timesteps: 1300, Mean reward: 107.96
Timesteps: 1400, Mean reward: 93.77
Timesteps: 1500, Mean reward: 152.14
Timesteps: 1600, Mean reward: 164.04
Timesteps: 1700, Mean reward: 135.90
Timesteps: 1800, Mean reward: 164.76
Timesteps: 1900, Mean reward: 158.59
Timesteps: 2000, Mean reward: 115.98
Timesteps: 2100, Mean reward: 123.31
Timesteps: 2200, Mean reward: 120.84
Timesteps: 2300, Mean reward: 200.67
Timesteps: 2400, Mean reward: 163.51
Timesteps: 2500, Mean reward: 335.24
Timesteps: 2600, Mean reward: 84.87
Timesteps: 2700, Mean reward: 243.11
Timesteps: 2800, Mean reward: 251.45
Timesteps: 2900, Mean reward: 209.57
Timesteps: 3000, Mean reward: 94.43
Timesteps: 3100, Mean reward: 226.46
Timesteps: 3200, Mean reward: 232.67
Timesteps: 3300, Mean reward: 292.18
Timesteps: 3400, Mean reward: 220.43
Timesteps: 3500, Mean reward: 330.80
Timesteps: 3600, Mean reward: 299.63
Timesteps: 3700, Mean reward: 204.05
Timesteps: 3800, Mean reward: 283.80
Timesteps: 3900, Mean reward: 259.57
Timesteps: 4000, Mean reward: 272.76
Timesteps: 4100, Mean reward: 269.78
Timesteps: 4200, Mean reward: 275.33
Timesteps: 4300, Mean reward: 281.97
Timesteps: 4400, Mean reward: 279.07
Timesteps: 4500, Mean reward: 277.32
Timesteps: 4600, Mean reward: 276.72
Timesteps: 4700, Mean reward: 285.30
Timesteps: 4800, Mean reward: 296.35
Timesteps: 4900, Mean reward: 303.20
Timesteps: 5000, Mean reward: 324.07
Timesteps: 5100, Mean reward: 274.01
Timesteps: 5200, Mean reward: 315.16
Timesteps: 5300, Mean reward: 328.99
Timesteps: 5400, Mean reward: 375.88
Timesteps: 5500, Mean reward: 356.36
Timesteps: 5600, Mean reward: 332.74
Timesteps: 5700, Mean reward: 278.31
Timesteps: 5800, Mean reward: 344.07
Timesteps: 5900, Mean reward: 328.79
Timesteps: 6000, Mean reward: 328.51
Timesteps: 6100, Mean reward: 319.78
Timesteps: 6200, Mean reward: 348.31
Timesteps: 6300, Mean reward: 407.48
Timesteps: 6400, Mean reward: 373.25
Timesteps: 6500, Mean reward: 411.97
Timesteps: 6600, Mean reward: 369.79
Timesteps: 6700, Mean reward: 354.81
Timesteps: 6800, Mean reward: 340.24
Timesteps: 6900, Mean reward: 408.94
Timesteps: 7000, Mean reward: 414.88
Timesteps: 7100, Mean reward: 273.35
Timesteps: 7200, Mean reward: 63.37
Timesteps: 7300, Mean reward: 51.68
Timesteps: 7400, Mean reward: 126.74
Timesteps: 7500, Mean reward: 139.66
Timesteps: 7600, Mean reward: 113.53
Timesteps: 7700, Mean reward: 128.21
Timesteps: 7800, Mean reward: 131.69
Timesteps: 7900, Mean reward: 177.96
Timesteps: 8000, Mean reward: 111.07
Timesteps: 8100, Mean reward: 135.16
Timesteps: 8200, Mean reward: 200.92
Timesteps: 8300, Mean reward: 183.93
Timesteps: 8400, Mean reward: 114.93
Timesteps: 8500, Mean reward: 156.70
Timesteps: 8600, Mean reward: 215.96
Timesteps: 8700, Mean reward: 395.50
Timesteps: 8800, Mean reward: 412.20
Timesteps: 8900, Mean reward: 302.34
Timesteps: 9000, Mean reward: 205.63
Timesteps: 9100, Mean reward: 165.34
Timesteps: 9200, Mean reward: 88.87
Timesteps: 9300, Mean reward: 226.15
Timesteps: 9400, Mean reward: 81.75
Timesteps: 9500, Mean reward: 7.28
Timesteps: 9600, Mean reward: 3.86
Timesteps: 9700, Mean reward: 0.54
Timesteps: 9800, Mean reward: 3.93
Timesteps: 9900, Mean reward: 4.80
Timesteps: 10000, Mean reward: 7.51
Timesteps: 10100, Mean reward: 28.86
Timesteps: 10200, Mean reward: 471.68
Timesteps: 10300, Mean reward: 119.09
Timesteps: 10400, Mean reward: 400.33
Timesteps: 10500, Mean reward: 388.56
Timesteps: 10600, Mean reward: 197.54
Timesteps: 10700, Mean reward: 498.20
Timesteps: 10800, Mean reward: 483.77
Timesteps: 10900, Mean reward: 497.48
Timesteps: 11000, Mean reward: 393.06
Timesteps: 11100, Mean reward: 408.30
Timesteps: 11200, Mean reward: 184.80
Timesteps: 11300, Mean reward: 295.99
Timesteps: 11400, Mean reward: 110.43
